GEO,ST,STNAME,COUNTY/METRO,Total households (2016-2020),Renter households (2016-2020),renters_percent,renters,% of total households that are renters (2016-2020),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated median renter household income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income,Rent affordable with full-time job paying minimum wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
COUNTY,CA,California,Alpine County,397,76,19,0.19,19%,$15.00,$13.19,"$1,002",$725,$822,"$1,073","$1,524","$1,705","$94,500","$28,350","$47,250",54896,$709,"$1,181","$1,372",$780,$686,$301,"$29,000","$32,880","$42,920","$60,960","$68,200",$13.94,$15.81,$20.63,$29.31,$32.79,37,42,55,78,87,0.9,1.1,1.4,2.0,2.2,42,48,63,89,99
COUNTY,CA,California,Amador County,"14,844","3,448",23,0.23,23%,$15.00,$13.41,"$1,002",$920,$926,"$1,148","$1,631","$1,965","$86,600","$25,980","$43,300",41005,$650,"$1,083","$1,025",$780,$698,$301,"$36,800","$37,040","$45,920","$65,240","$78,600",$17.69,$17.81,$22.08,$31.37,$37.79,47,47,59,84,101,1.2,1.2,1.5,2.1,2.5,53,53,66,94,113
COUNTY,CA,California,Butte County,"83,879","33,992",41,0.41,41%,$15.00,$16.11,"$1,002",$826,$895,"$1,177","$1,662","$2,015","$85,000","$25,500","$42,500",39175,$638,"$1,063",$979,$780,$837,$301,"$33,040","$35,800","$47,080","$66,480","$80,600",$15.88,$17.21,$22.63,$31.96,$38.75,42,46,60,85,103,1.1,1.1,1.5,2.1,2.6,39,43,56,79,96
COUNTY,CA,California,Calaveras County,"16,958","3,466",20,0.20,20%,$15.00,$14.68,"$1,002",$739,$857,"$1,094","$1,554","$1,785","$90,000","$27,000","$45,000",50686,$675,"$1,125","$1,267",$780,$764,$301,"$29,560","$34,280","$43,760","$62,160","$71,400",$14.21,$16.48,$21.04,$29.88,$34.33,38,44,56,80,92,0.9,1.1,1.4,2.0,2.3,39,45,57,81,94
COUNTY,CA,California,Colusa County,"7,329","2,678",37,0.37,37%,$15.00,$17.75,"$1,002",$713,$717,$944,"$1,341","$1,506","$74,400","$22,320","$37,200",45719,$558,$930,"$1,143",$780,$923,$301,"$28,520","$28,680","$37,760","$53,640","$60,240",$13.71,$13.79,$18.15,$25.79,$28.96,37,37,48,69,77,0.9,0.9,1.2,1.7,1.9,31,31,41,58,65
COUNTY,CA,California,Contra Costa County,"398,299","132,061",33,0.33,33%,$15.00,$27.57,"$1,002","$1,538","$1,854","$2,274","$3,006","$3,578","$142,800","$42,840","$71,400",76604,"$1,071","$1,785","$1,915",$780,"$1,433",$301,"$61,520","$74,160","$90,960","$120,240","$143,120",$29.58,$35.65,$43.73,$57.81,$68.81,79,95,117,154,183,2.0,2.4,2.9,3.9,4.6,43,52,63,84,100
COUNTY,CA,California,Del Norte County,"9,805","3,099",32,0.32,32%,$15.00,$11.13,"$1,002",$651,$831,$980,"$1,355","$1,677","$63,600","$19,080","$31,800",29840,$477,$795,$746,$780,$579,$301,"$26,040","$33,240","$39,200","$54,200","$67,080",$12.52,$15.98,$18.85,$26.06,$32.25,33,43,50,69,86,0.8,1.1,1.3,1.7,2.2,45,57,68,94,116
COUNTY,CA,California,El Dorado County,"73,078","17,885",24,0.24,24%,$15.00,$17.21,"$1,002","$1,108","$1,228","$1,543","$2,192","$2,625","$102,200","$30,660","$51,100",54457,$767,"$1,278","$1,361",$780,$895,$301,"$44,320","$49,120","$61,720","$87,680","$105,000",$21.31,$23.62,$29.67,$42.15,$50.48,57,63,79,112,135,1.4,1.6,2.0,2.8,3.4,50,55,69,98,117
COUNTY,CA,California,Fresno County,"310,097","143,677",46,0.46,46%,$15.00,$15.53,"$1,002",$899,$904,"$1,137","$1,607","$1,847","$72,900","$21,870","$36,450",39451,$547,$911,$986,$780,$807,$301,"$35,960","$36,160","$45,480","$64,280","$73,880",$17.29,$17.38,$21.87,$30.90,$35.52,46,46,58,82,95,1.2,1.2,1.5,2.1,2.4,45,45,56,80,92
COUNTY,CA,California,Glenn County,"10,216","4,246",42,0.42,42%,$15.00,$16.51,"$1,002",$627,$717,$944,"$1,167","$1,280","$64,400","$19,320","$32,200",39723,$483,$805,$993,$780,$858,$301,"$25,080","$28,680","$37,760","$46,680","$51,200",$12.06,$13.79,$18.15,$22.44,$24.62,32,37,48,60,66,0.8,0.9,1.2,1.5,1.6,29,33,44,54,60
