State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
1,121,AL,Talladega County,"14,936","12,409","17,463",19.1,15.9,22.3,"4,428","3,431","5,425",27.1,21,33.2,"3,201","2,404","3,998",26.4,19.8,33,"47,331","42,667","51,995",.,.,.,.,.,.
1,123,AL,Tallapoosa County,"7,420","6,052","8,788",18.3,14.9,21.7,"2,298","1,694","2,902",27.9,20.6,35.2,"1,641","1,155","2,127",26.4,18.6,34.2,"47,444","42,126","52,762",.,.,.,.,.,.
1,125,AL,Tuscaloosa County,"31,735","26,867","36,603",14.7,12.4,17,"8,641","6,565","10,717",18.3,13.9,22.7,"6,266","4,646","7,886",18.1,13.4,22.8,"56,274","52,677","59,871",.,.,.,.,.,.
1,127,AL,Walker County,"12,877","10,967","14,787",20.2,17.2,23.2,"3,950","3,195","4,705",27.7,22.4,33,"2,655","2,069","3,241",25.5,19.9,31.1,"46,343","41,443","51,243",.,.,.,.,.,.
1,129,AL,Washington County,"3,091","2,505","3,677",20.6,16.7,24.5,978,755,"1,201",30.6,23.6,37.6,712,535,889,30.1,22.6,37.6,"49,795","43,655","55,935",.,.,.,.,.,.
1,131,AL,Wilcox County,"3,340","2,578","4,102",32.4,25,39.8,"1,163",845,"1,481",49.4,35.9,62.9,857,611,"1,103",50.2,35.8,64.6,"30,071","26,647","33,495",.,.,.,.,.,.
1,133,AL,Winston County,"4,455","3,624","5,286",19,15.4,22.6,"1,281",978,"1,584",26.9,20.5,33.3,911,675,"1,147",25.5,18.9,32.1,"47,176","41,809","52,543",.,.,.,.,.,.
2,0,AK,Alaska,"77,736","74,178","81,294",10.8,10.3,11.3,"23,760","22,273","25,247",13.5,12.7,14.3,"16,316","15,103","17,529",12.7,11.8,13.6,"78,437","76,456","80,418","6,633","5,796","7,470",14.1,12.3,15.9
2,13,AK,Aleutians East Borough,625,455,795,18.4,13.4,23.4,38,26,50,15.7,10.6,20.8,26,17,35,13.8,8.8,18.8,"71,492","62,784","80,200",.,.,.,.,.,.
2,16,AK,Aleutians West Census Area,505,389,621,10.4,8,12.8,42,29,55,7,4.9,9.1,28,18,38,6.2,4,8.4,"86,050","74,933","97,167",.,.,.,.,.,.
2,20,AK,Anchorage Borough,"26,920","23,537","30,303",9.5,8.3,10.7,"7,645","6,189","9,101",11.3,9.1,13.5,"5,237","4,118","6,356",10.8,8.5,13.1,"86,152","81,359","90,945",.,.,.,.,.,.
2,50,AK,Bethel Census Area,"4,496","3,667","5,325",24.6,20.1,29.1,"1,750","1,209","2,291",26.8,18.5,35.1,"1,244",818,"1,670",27.2,17.9,36.5,"54,849","49,710","59,988",.,.,.,.,.,.
2,60,AK,Bristol Bay Borough,93,69,117,11.3,8.4,14.2,35,24,46,20,13.5,26.5,25,16,34,19.4,12.5,26.3,"88,516","78,137","98,895",.,.,.,.,.,.
2,63,AK,Chugach Census Area,530,392,668,7.7,5.7,9.7,145,98,192,9.5,6.4,12.6,101,65,137,8.9,5.7,12.1,"88,029","77,125","98,933",.,.,.,.,.,.
2,66,AK,Copper River Census Area,375,286,464,14.3,10.9,17.7,122,83,161,18.5,12.6,24.4,83,53,113,16.3,10.5,22.1,"61,288","53,602","68,974",.,.,.,.,.,.
2,68,AK,Denali Borough,115,87,143,7.5,5.7,9.3,21,14,28,7.6,5.1,10.1,14,9,19,6.7,4.1,9.3,"85,251","77,525","92,977",.,.,.,.,.,.
2,70,AK,Dillingham Census Area,"1,033",796,"1,270",21.8,16.8,26.8,460,309,611,31,20.9,41.1,316,198,434,29.9,18.8,41,"58,389","51,834","64,944",.,.,.,.,.,.
2,90,AK,Fairbanks North Star Borough,"7,247","5,739","8,755",7.9,6.2,9.6,"2,072","1,425","2,719",9.4,6.5,12.3,"1,379",896,"1,862",8.9,5.8,12,"76,754","69,143","84,365",.,.,.,.,.,.
2,100,AK,Haines Borough,223,167,279,10.8,8.1,13.5,64,43,85,17.4,11.7,23.1,46,29,63,16.8,10.7,22.9,"63,155","55,404","70,906",.,.,.,.,.,.
2,105,AK,Hoonah-Angoon Census Area,395,296,494,17,12.8,21.2,106,72,140,26.2,17.7,34.7,75,48,102,25.3,16.4,34.2,"56,555","49,552","63,558",.,.,.,.,.,.
2,110,AK,Juneau Borough,"2,378","1,842","2,914",7.6,5.9,9.3,575,405,745,8.9,6.3,11.5,392,271,513,8,5.5,10.5,"89,922","80,118","99,726",.,.,.,.,.,.
2,122,AK,Kenai Peninsula Borough,"6,729","5,506","7,952",11.5,9.4,13.6,"1,813","1,291","2,335",13.8,9.8,17.8,"1,272",871,"1,673",13.1,9,17.2,"71,111","63,530","78,692",.,.,.,.,.,.
2,130,AK,Ketchikan Gateway Borough,"1,529","1,250","1,808",11.3,9.2,13.4,368,258,478,13.4,9.4,17.4,254,172,336,12.2,8.2,16.2,"73,260","65,432","81,088",.,.,.,.,.,.
2,150,AK,Kodiak Island Borough,"1,072",828,"1,316",8.5,6.6,10.4,266,183,349,8.9,6.1,11.7,175,114,236,7.9,5.2,10.6,"80,863","70,960","90,766",.,.,.,.,.,.
2,158,AK,Kusilvak Census Area,"2,534","2,006","3,062",30.4,24.1,36.7,"1,413",983,"1,843",40.6,28.3,52.9,991,668,"1,314",41,27.6,54.4,"38,203","33,880","42,526",.,.,.,.,.,.
2,164,AK,Lake and Peninsula Borough,290,221,359,20.6,15.7,25.5,112,76,148,28,19,37,79,51,107,28.5,18.5,38.5,"51,205","44,698","57,712",.,.,.,.,.,.
2,170,AK,Matanuska-Susitna Borough,"11,453","9,900","13,006",10.5,9.1,11.9,"3,294","2,569","4,019",11.6,9.1,14.1,"2,286","1,734","2,838",10.7,8.1,13.3,"80,164","75,975","84,353",.,.,.,.,.,.
2,180,AK,Nome Census Area,"1,920","1,524","2,316",19.8,15.7,23.9,781,536,"1,026",23.6,16.2,31,551,368,734,22.4,15,29.8,"65,578","59,683","71,473",.,.,.,.,.,.
2,185,AK,North Slope Borough,"1,354","1,010","1,698",12.4,9.2,15.6,467,314,620,15.5,10.4,20.6,299,189,409,13.4,8.5,18.3,"95,041","82,911","107,171",.,.,.,.,.,.
2,188,AK,Northwest Arctic Borough,"1,560","1,219","1,901",20.9,16.3,25.5,771,557,985,28.4,20.5,36.3,503,335,671,25.3,16.9,33.7,"67,586","59,537","75,635",.,.,.,.,.,.
2,195,AK,Petersburg Borough,269,205,333,8,6.1,9.9,75,51,99,10.5,7.1,13.9,51,32,70,9.3,5.9,12.7,"71,878","65,402","78,354",.,.,.,.,.,.
2,198,AK,Prince of Wales-Hyder Census Area,859,642,"1,076",15,11.2,18.8,277,187,367,22.9,15.5,30.3,189,122,256,20.4,13.2,27.6,"56,226","51,100","61,352",.,.,.,.,.,.
2,220,AK,Sitka Borough,717,552,882,8.6,6.6,10.6,179,122,236,10.7,7.3,14.1,118,77,159,9.6,6.2,13,"78,248","70,488","86,008",.,.,.,.,.,.
2,230,AK,Skagway Municipality,69,52,86,6.1,4.6,7.6,15,10,20,9.3,6.2,12.4,10,6,14,7.8,4.8,10.8,"65,712","57,671","73,753",.,.,.,.,.,.
2,240,AK,Southeast Fairbanks Census Area,890,678,"1,102",12.9,9.8,16,288,200,376,15.6,10.8,20.4,197,130,264,14.9,9.8,20,"68,347","59,805","76,889",.,.,.,.,.,.
2,275,AK,Wrangell City and Borough,231,175,287,11.3,8.5,14.1,68,47,89,16.9,11.6,22.2,47,31,63,16,10.5,21.5,"64,732","56,830","72,634",.,.,.,.,.,.
2,282,AK,Yakutat Borough,86,64,108,12.2,9.1,15.3,27,18,36,19,12.7,25.3,19,12,26,17.4,11.1,23.7,"73,014","64,063","81,965",.,.,.,.,.,.
2,290,AK,Yukon-Koyukuk Census Area,"1,240",957,"1,523",23.7,18.3,29.1,470,326,614,32.1,22.2,42,309,199,419,28.6,18.4,38.8,"44,934","39,516","50,352",.,.,.,.,.,.
4,0,AZ,Arizona,"919,680","900,349","939,011",12.9,12.6,13.2,"281,696","271,479","291,913",17.8,17.2,18.4,"197,841","189,061","206,621",16.7,16,17.4,"68,967","68,287","69,647","76,649","71,494","81,804",19.7,18.4,21
4,1,AZ,Apache County,"18,422","16,244","20,600",28.4,25,31.8,"5,985","4,813","7,157",34.7,27.9,41.5,"4,179","3,252","5,106",31.8,24.8,38.8,"41,002","37,779","44,225",.,.,.,.,.,.
4,3,AZ,Cochise County,"20,618","17,832","23,404",17.1,14.8,19.4,"6,798","5,563","8,033",26,21.3,30.7,"4,913","3,943","5,883",25.2,20.2,30.2,"55,748","52,531","58,965",.,.,.,.,.,.
4,5,AZ,Coconino County,"22,677","19,669","25,685",16.9,14.7,19.1,"5,511","4,138","6,884",19.4,14.6,24.2,"3,763","2,696","4,830",17.6,12.6,22.6,"63,829","59,273","68,385",.,.,.,.,.,.
4,7,AZ,Gila County,"8,900","7,003","10,797",16.8,13.2,20.4,"2,775","1,997","3,553",27.3,19.6,35,"1,887","1,293","2,481",24.6,16.9,32.3,"52,665","48,076","57,254",.,.,.,.,.,.
4,9,AZ,Graham County,"7,385","6,118","8,652",20.4,16.9,23.9,"2,370","1,896","2,844",23.3,18.6,28,"1,799","1,440","2,158",23.7,19,28.4,"52,644","47,333","57,955",.,.,.,.,.,.
4,11,AZ,Greenlee County,886,672,"1,100",9.5,7.2,11.8,282,203,361,11.2,8.1,14.3,195,136,254,10.6,7.4,13.8,"71,669","62,741","80,597",.,.,.,.,.,.
4,12,AZ,La Paz County,"3,303","2,569","4,037",20.3,15.8,24.8,814,593,"1,035",31.2,22.7,39.7,572,395,749,30.4,21,39.8,"44,330","40,093","48,567",.,.,.,.,.,.
4,13,AZ,Maricopa County,"502,224","483,320","521,128",11.3,10.9,11.7,"157,038","147,861","166,215",15.4,14.5,16.3,"109,003","101,969","116,037",14.3,13.4,15.2,"76,230","75,525","76,935",.,.,.,.,.,.
4,15,AZ,Mohave County,"38,383","34,152","42,614",18,16,20,"10,655","8,938","12,372",30.4,25.5,35.3,"7,316","5,944","8,688",28.1,22.8,33.4,"48,169","44,145","52,193",.,.,.,.,.,.
4,17,AZ,Navajo County,"26,324","22,972","29,676",24.8,21.6,28,"9,259","7,712","10,806",33.8,28.2,39.4,"6,810","5,598","8,022",32.7,26.9,38.5,"49,057","46,381","51,733",.,.,.,.,.,.
4,19,AZ,Pima County,"151,169","140,902","161,436",14.7,13.7,15.7,"42,559","38,048","47,070",20.4,18.2,22.6,"30,739","27,163","34,315",19.7,17.4,22,"60,604","58,737","62,471",.,.,.,.,.,.
4,21,AZ,Pinal County,"45,630","39,199","52,061",10.7,9.2,12.2,"13,915","10,994","16,836",14.3,11.3,17.3,"10,131","7,832","12,430",13.8,10.7,16.9,"70,835","68,180","73,490",.,.,.,.,.,.
4,23,AZ,Santa Cruz County,"9,723","8,029","11,417",20.4,16.9,23.9,"3,821","2,968","4,674",30.8,23.9,37.7,"2,571","1,855","3,287",27.6,19.9,35.3,"49,216","44,740","53,692",.,.,.,.,.,.
4,25,AZ,Yavapai County,"29,766","25,619","33,913",12.5,10.8,14.2,"7,135","5,637","8,633",19.2,15.2,23.2,"4,643","3,397","5,889",16.5,12.1,20.9,"57,676","54,794","60,558",.,.,.,.,.,.
4,27,AZ,Yuma County,"34,270","29,508","39,032",17.3,14.9,19.7,"12,779","10,500","15,058",25,20.5,29.5,"9,320","7,529","11,111",25.1,20.3,29.9,"55,991","52,887","59,095",.,.,.,.,.,.
